country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
Portugal,PRT,2022-01-01,2022,3.909,40.722,28387.32934564927,10417074.0
Paraguay,PRY,2022-01-01,2022,1.114,7.533,9633.609938376974,6760460.0
Palestine,PSE,2022-01-01,2022,0.886,4.702,4538.220196355551,5305274.0
Qatar,QAT,2022-01-01,2022,37.89,109.594,131990.52538906247,2892466.0
Romania,ROU,2022-01-01,2022,3.818,73.186,26334.19763949868,19166776.0
Russia,RUS,2022-01-01,2022,11.509,1675.461,25631.56803601492,145579889.0
Rwanda,RWA,2022-01-01,2022,0.143,1.957,2085.28321602224,13651025.0
Saudi Arabia,SAU,2022-01-01,2022,20.73,666.994,56685.821153466204,32175351.0
Senegal,SEN,2022-01-01,2022,0.801,14.133,2941.11963017147,17651099.0
Singapore,SGP,2022-01-01,2022,8.661,48.934,81736.33149418182,5649888.0
Sierra Leone,SLE,2022-01-01,2022,0.174,1.444,1411.3253711665934,8276809.0
El Salvador,SLV,2022-01-01,2022,1.26,7.913,9437.572061660592,6280316.0
Serbia,SRB,2022-01-01,2022,6.547,44.462,17203.790215889203,6791215.0
Sao Tome and Principe,STP,2022-01-01,2022,0.599,0.136,3646.447177139625,226313.0
Slovakia,SVK,2022-01-01,2022,5.772,31.589,27472.1486181289,5473195.0
Slovenia,SVN,2022-01-01,2022,6.017,12.728,32802.729093418166,2115231.0
Sweden,SWE,2022-01-01,2022,3.465,36.342,47124.891229087276,10487335.0
Eswatini,SWZ,2022-01-01,2022,0.844,1.028,7871.642932560847,1218921.0
Seychelles,SYC,2022-01-01,2022,5.01,0.629,24323.23077597126,125533.0
Syria,SYR,2022-01-01,2022,1.399,31.423,2330.7249203883684,22462170.0
Chad,TCD,2022-01-01,2022,0.152,2.8,1306.8326735506441,18455319.0
Togo,TGO,2022-01-01,2022,0.301,2.739,1569.4241275494949,9089742.0
Thailand,THA,2022-01-01,2022,3.8,272.573,15670.714829156477,71735321.0
Tajikistan,TJK,2022-01-01,2022,1.033,10.521,4963.944388791922,10182228.0
Turkmenistan,TKM,2022-01-01,2022,14.116,102.063,13485.517023533384,7230197.0
Trinidad and Tobago,TTO,2022-01-01,2022,25.063,37.493,25077.082157972036,1495923.0
Tunisia,TUN,2022-01-01,2022,2.54,30.785,10681.93323843266,12119338.0
Turkey,TUR,2022-01-01,2022,5.095,443.603,27406.826716961907,87058469.0
Taiwan,TWN,2022-01-01,2022,11.699,273.989,53282.17710252135,23420107.0
Tanzania,TZA,2022-01-01,2022,0.304,19.702,3063.125124262457,64711822.0
Uganda,UGA,2022-01-01,2022,0.13,6.128,2155.771666954327,47312718.0
Ukraine,UKR,2022-01-01,2022,3.485,143.04,7531.691929779719,41048768.0
Uruguay,URY,2022-01-01,2022,2.212,7.501,20368.03308666427,3390913.0
United States,USA,2022-01-01,2022,14.802,5055.403,57075.33610930162,341534041.0
Uzbekistan,UZB,2022-01-01,2022,3.409,119.105,11264.57522376243,34938953.0
Venezuela,VEN,2022-01-01,2022,3.843,108.424,5305.425982122081,28213015.0
Vietnam,VNM,2022-01-01,2022,3.237,322.653,8364.751422241843,99680656.0
Yemen,YEM,2022-01-01,2022,0.272,10.404,1592.0568641639177,38222878.0
South Africa,ZAF,2022-01-01,2022,6.874,428.782,11599.514042958159,62378417.0
Zambia,ZMB,2022-01-01,2022,0.543,10.939,3397.5001670476286,20152935.0
Zimbabwe,ZWE,2022-01-01,2022,0.761,12.232,1611.8916893152625,16069061.0
World,,2022-01-01,2022,4.678,37527.773,16220.665400954544,8021407196.0
